name,source
FBtr0070130.1,protein_coding
FBtr0070131.1,protein_coding
FBtr0070132.1,protein_coding
FBtr0070133.1,protein_coding
FBtr0070134.1,protein_coding
FBtr0070135.1,protein_coding
FBtr0070136.1,protein_coding
FBtr0070137.1,protein_coding
FBtr0070138.1,protein_coding
FBtr0070139.1,protein_coding
FBtr0070140.1,protein_coding
FBtr0070141.1,protein_coding
FBtr0070142.1,protein_coding
FBtr0070145.1,protein_coding
FBtr0070146.1,protein_coding
FBtr0070147.1,protein_coding
FBtr0070148.1,protein_coding
FBtr0070149.1,protein_coding
FBtr0070150.1,protein_coding
FBtr0070151.1,protein_coding
FBtr0070155.1,protein_coding
FBtr0070156.1,protein_coding
FBtr0070157.1,protein_coding
FBtr0070158.1,protein_coding
FBtr0070159.1,protein_coding
FBtr0070160.1,protein_coding
FBtr0070161.1,protein_coding
FBtr0070163.1,protein_coding
FBtr0070164.1,protein_coding
FBtr0070165.1,protein_coding
FBtr0070167.1,protein_coding
FBtr0070168.1,protein_coding
FBtr0070169.1,protein_coding
FBtr0070170.1,protein_coding
FBtr0070171.1,protein_coding
FBtr0070172.1,protein_coding
FBtr0070173.1,protein_coding
FBtr0070174.1,protein_coding
FBtr0070175.1,protein_coding
FBtr0070176.1,protein_coding
FBtr0070177.1,protein_coding
FBtr0070178.1,protein_coding
FBtr0070179.1,protein_coding
FBtr0070180.1,protein_coding
FBtr0070181.1,protein_coding
FBtr0070182.1,protein_coding
FBtr0070183.1,protein_coding
FBtr0070184.1,protein_coding
FBtr0070185.1,protein_coding
FBtr0070186.1,protein_coding
FBtr0070187.1,protein_coding
FBtr0070188.1,protein_coding
FBtr0070189.1,protein_coding
FBtr0070195.1,protein_coding
FBtr0070197.1,protein_coding
FBtr0070198.1,protein_coding
FBtr0070199.1,protein_coding
FBtr0070200.1,protein_coding
FBtr0070201.1,protein_coding
FBtr0070202.1,protein_coding
FBtr0070203.1,protein_coding
FBtr0070204.1,protein_coding
FBtr0070205.1,protein_coding
FBtr0070206.1,protein_coding
FBtr0070207.1,protein_coding
FBtr0070209.1,protein_coding
FBtr0070211.1,protein_coding
FBtr0070212.1,protein_coding
FBtr0070213.1,protein_coding
FBtr0070215.1,protein_coding
FBtr0070216.1,protein_coding
FBtr0070217.1,protein_coding
FBtr0070218.1,protein_coding
FBtr0070219.1,protein_coding
FBtr0070222.1,protein_coding
FBtr0070225.1,protein_coding
FBtr0070230.1,protein_coding
FBtr0070231.1,protein_coding
FBtr0070233.1,protein_coding
FBtr0070234.1,protein_coding
FBtr0070235.1,protein_coding
FBtr0070236.1,protein_coding
FBtr0070237.1,protein_coding
FBtr0070238.1,protein_coding
FBtr0070239.1,protein_coding
FBtr0070241.1,protein_coding
FBtr0070244.1,protein_coding
FBtr0070245.1,protein_coding
FBtr0070249.1,protein_coding
FBtr0070250.1,protein_coding
FBtr0070251.1,protein_coding
FBtr0070252.1,protein_coding
FBtr0070253.1,protein_coding
FBtr0070254.1,protein_coding
FBtr0070255.1,protein_coding
FBtr0070256.1,protein_coding
FBtr0070257.1,protein_coding
FBtr0070258.1,protein_coding
FBtr0070259.1,protein_coding
FBtr0070260.1,protein_coding
FBtr0070261.1,protein_coding
FBtr0070262.1,protein_coding
FBtr0070263.1,protein_coding
FBtr0070265.1,protein_coding
FBtr0070266.1,protein_coding
FBtr0070269.1,protein_coding
FBtr0070270.1,protein_coding
FBtr0070272.1,protein_coding
FBtr0070277.1,protein_coding
FBtr0070278.1,protein_coding
FBtr0070279.1,protein_coding
FBtr0070283.1,protein_coding
FBtr0070284.1,protein_coding
FBtr0070285.1,protein_coding
FBtr0070288.1,protein_coding
FBtr0070289.1,protein_coding
FBtr0070290.1,protein_coding
FBtr0070292.1,snoRNA
FBtr0070293.1,protein_coding
FBtr0070294.1,protein_coding
FBtr0070295.1,protein_coding
FBtr0070296.1,protein_coding
FBtr0070297.1,protein_coding
FBtr0070298.1,protein_coding
FBtr0070299.1,protein_coding
FBtr0070300.1,protein_coding
FBtr0070301.1,protein_coding
FBtr0070308.1,protein_coding
FBtr0070310.1,protein_coding
FBtr0070311.1,protein_coding
FBtr0070312.1,protein_coding
FBtr0070313.1,protein_coding
FBtr0070314.1,protein_coding
FBtr0070315.1,protein_coding
FBtr0070316.1,protein_coding
FBtr0070317.1,protein_coding
FBtr0070318.1,protein_coding
FBtr0070319.1,protein_coding
FBtr0070320.1,protein_coding
FBtr0070321.1,protein_coding
FBtr0070326.1,protein_coding
FBtr0070328.1,protein_coding
FBtr0070330.1,protein_coding
FBtr0070331.1,protein_coding
FBtr0070334.1,protein_coding
FBtr0070335.1,protein_coding
FBtr0070336.1,protein_coding
FBtr0070337.1,protein_coding
FBtr0070338.1,protein_coding
FBtr0070339.1,protein_coding
FBtr0070340.1,protein_coding
FBtr0070341.1,protein_coding
FBtr0070342.1,protein_coding
FBtr0070343.1,protein_coding
FBtr0070344.1,protein_coding
FBtr0070345.1,protein_coding
FBtr0070346.1,protein_coding
FBtr0070347.1,protein_coding
FBtr0070349.1,protein_coding
FBtr0070350.1,protein_coding
FBtr0070351.1,protein_coding
FBtr0070352.1,protein_coding
FBtr0070353.1,protein_coding
FBtr0070354.1,protein_coding
FBtr0070355.1,protein_coding
FBtr0070356.1,protein_coding
FBtr0070362.1,protein_coding
FBtr0070363.1,protein_coding
FBtr0070364.1,protein_coding
FBtr0070365.1,protein_coding
FBtr0070366.1,protein_coding
FBtr0070367.1,protein_coding
FBtr0070368.1,protein_coding
FBtr0070369.1,protein_coding
FBtr0070370.1,protein_coding
FBtr0070371.1,protein_coding
FBtr0070372.1,protein_coding
FBtr0070374.1,protein_coding
FBtr0070375.1,protein_coding
FBtr0070376.1,protein_coding
FBtr0070377.1,protein_coding
FBtr0070378.1,protein_coding
FBtr0070379.1,protein_coding
FBtr0070380.1,protein_coding
FBtr0070381.1,protein_coding
FBtr0070382.1,protein_coding
FBtr0070383.1,protein_coding
FBtr0070384.1,protein_coding
FBtr0070385.1,protein_coding
FBtr0070386.1,protein_coding
FBtr0070387.1,protein_coding
FBtr0070388.1,protein_coding
FBtr0070389.1,protein_coding
FBtr0070390.1,protein_coding
FBtr0070392.1,protein_coding
FBtr0070393.1,protein_coding
FBtr0070396.1,protein_coding
FBtr0070397.1,protein_coding
FBtr0070398.1,protein_coding
FBtr0070399.1,protein_coding
FBtr0070401.1,protein_coding
FBtr0070402.1,protein_coding
FBtr0070403.1,protein_coding
FBtr0070404.1,protein_coding
FBtr0070405.1,protein_coding
FBtr0070406.1,protein_coding
FBtr0070407.1,protein_coding
FBtr0070408.1,protein_coding
FBtr0070411.1,protein_coding
FBtr0070412.1,protein_coding
FBtr0070414.1,protein_coding
FBtr0070415.1,protein_coding
FBtr0070416.1,protein_coding
FBtr0070417.1,protein_coding
FBtr0070418.1,protein_coding
FBtr0070419.1,protein_coding
FBtr0070420.1,protein_coding
FBtr0070421.1,protein_coding
FBtr0070422.1,protein_coding
FBtr0070423.1,protein_coding
FBtr0070424.1,protein_coding
FBtr0070425.1,protein_coding
FBtr0070426.1,protein_coding
FBtr0070427.1,protein_coding
FBtr0070428.1,protein_coding
FBtr0070429.1,protein_coding
FBtr0070430.1,protein_coding
FBtr0070431.1,protein_coding
FBtr0070432.1,protein_coding
FBtr0070433.1,protein_coding
FBtr0070434.1,protein_coding
FBtr0070435.1,protein_coding
FBtr0070436.1,protein_coding
FBtr0070437.1,protein_coding
FBtr0070438.1,protein_coding
FBtr0070439.1,protein_coding
FBtr0070440.1,protein_coding
FBtr0070441.1,protein_coding
FBtr0070442.1,protein_coding
FBtr0070445.1,protein_coding
FBtr0070446.1,protein_coding
FBtr0070447.1,protein_coding
FBtr0070448.1,protein_coding
FBtr0070457.1,protein_coding
FBtr0070458.1,protein_coding
FBtr0070459.1,protein_coding
FBtr0070460.1,protein_coding
FBtr0070461.1,protein_coding
FBtr0070462.1,protein_coding
FBtr0070466.1,protein_coding
FBtr0070467.1,protein_coding
FBtr0070468.1,protein_coding
FBtr0070469.1,protein_coding
FBtr0070470.1,protein_coding
FBtr0070471.1,protein_coding
FBtr0070472.1,protein_coding
FBtr0070473.1,protein_coding
FBtr0070474.1,protein_coding
FBtr0070475.1,protein_coding
FBtr0070476.1,protein_coding
FBtr0070477.1,protein_coding
FBtr0070478.1,protein_coding
FBtr0070479.1,protein_coding
FBtr0070480.1,protein_coding
FBtr0070481.1,protein_coding
FBtr0070482.1,protein_coding
FBtr0070484.1,protein_coding
FBtr0070485.1,protein_coding
FBtr0070486.1,protein_coding
FBtr0070487.1,protein_coding
FBtr0070488.1,protein_coding
FBtr0070489.1,protein_coding
FBtr0070490.1,protein_coding
FBtr0070491.1,protein_coding
FBtr0070492.1,protein_coding
FBtr0070493.1,protein_coding
FBtr0070494.1,protein_coding
FBtr0070495.1,protein_coding
FBtr0070496.1,protein_coding
FBtr0070497.1,protein_coding
FBtr0070498.1,protein_coding
FBtr0070499.1,protein_coding
FBtr0070501.1,protein_coding
FBtr0070502.1,protein_coding
FBtr0070504.1,protein_coding
FBtr0070505.1,protein_coding
FBtr0070506.1,protein_coding
FBtr0070507.1,protein_coding
FBtr0070508.1,protein_coding
FBtr0070509.1,protein_coding
FBtr0070511.1,protein_coding
FBtr0070512.1,protein_coding
FBtr0070513.1,protein_coding
FBtr0070515.1,protein_coding
FBtr0070517.1,protein_coding
FBtr0070518.1,protein_coding
FBtr0070519.1,protein_coding
FBtr0070520.1,protein_coding
FBtr0070521.1,protein_coding
FBtr0070522.1,protein_coding
FBtr0070523.1,protein_coding
FBtr0070525.1,protein_coding
FBtr0070526.1,protein_coding
FBtr0070527.1,protein_coding
FBtr0070528.1,protein_coding
FBtr0070529.1,protein_coding
FBtr0070530.1,protein_coding
FBtr0070531.1,protein_coding
FBtr0070532.1,protein_coding
FBtr0070533.1,tRNA
FBtr0070534.1,protein_coding
FBtr0070536.1,protein_coding
FBtr0070537.1,protein_coding
FBtr0070538.1,protein_coding
FBtr0070539.1,protein_coding
FBtr0070540.1,protein_coding
FBtr0070541.1,protein_coding
FBtr0070542.1,protein_coding
FBtr0070543.1,protein_coding
FBtr0070546.1,protein_coding
FBtr0070550.1,protein_coding
FBtr0070551.1,protein_coding
FBtr0070552.1,protein_coding
FBtr0070553.1,protein_coding
FBtr0070554.1,protein_coding
FBtr0070555.1,protein_coding
FBtr0070556.1,protein_coding
FBtr0070557.1,protein_coding
FBtr0070558.1,protein_coding
FBtr0070559.1,protein_coding
FBtr0070560.1,protein_coding
FBtr0070561.1,protein_coding
FBtr0070562.1,protein_coding
FBtr0070563.1,protein_coding
FBtr0070564.1,protein_coding
FBtr0070565.1,protein_coding
FBtr0070566.1,protein_coding
FBtr0070567.1,protein_coding
FBtr0070568.1,protein_coding
FBtr0070569.1,protein_coding
FBtr0070570.1,protein_coding
FBtr0070571.1,protein_coding
FBtr0070575.1,protein_coding
FBtr0070577.1,protein_coding
FBtr0070578.1,protein_coding
FBtr0070579.1,protein_coding
FBtr0070582.1,protein_coding
FBtr0070583.1,protein_coding
FBtr0070584.1,protein_coding
FBtr0070586.1,protein_coding
FBtr0070587.1,protein_coding
FBtr0070588.1,protein_coding
FBtr0070589.1,protein_coding
FBtr0070590.1,protein_coding
FBtr0070591.1,protein_coding
FBtr0070592.1,protein_coding
FBtr0070596.1,protein_coding
FBtr0070597.1,protein_coding
FBtr0070598.1,protein_coding
FBtr0070599.1,protein_coding
FBtr0070600.1,protein_coding
FBtr0070603.1,tRNA
FBtr0070604.1,tRNA
FBtr0070605.1,protein_coding
FBtr0070606.1,protein_coding
FBtr0070608.1,protein_coding
FBtr0070609.1,protein_coding
FBtr0070610.1,protein_coding
FBtr0070611.1,protein_coding
FBtr0070612.1,protein_coding
FBtr0070613.1,protein_coding
FBtr0070616.1,protein_coding
FBtr0070617.1,protein_coding
FBtr0070618.1,protein_coding
FBtr0070624.1,protein_coding
FBtr0070625.1,protein_coding
FBtr0070626.1,protein_coding
FBtr0070627.1,protein_coding
FBtr0070634.1,lincRNA
FBtr0070635.1,lincRNA
FBtr0070638.1,protein_coding
FBtr0070639.1,protein_coding
FBtr0070640.1,protein_coding
FBtr0070641.1,protein_coding
FBtr0070642.1,protein_coding
FBtr0070643.1,protein_coding
FBtr0070644.1,protein_coding
FBtr0070645.1,protein_coding
FBtr0070646.1,protein_coding
FBtr0070647.1,protein_coding
FBtr0070648.1,protein_coding
FBtr0070650.1,protein_coding
FBtr0070651.1,protein_coding
FBtr0070652.1,protein_coding
FBtr0070654.1,protein_coding
FBtr0070655.1,protein_coding
FBtr0070656.1,protein_coding
FBtr0070657.1,protein_coding
FBtr0070658.1,protein_coding
FBtr0070659.1,protein_coding
FBtr0070660.1,protein_coding
FBtr0070661.1,protein_coding
FBtr0070663.1,protein_coding
FBtr0070664.1,protein_coding
FBtr0070665.1,protein_coding
FBtr0070666.1,protein_coding
FBtr0070667.1,protein_coding
FBtr0070668.1,protein_coding
FBtr0070669.1,protein_coding
FBtr0070670.1,protein_coding
FBtr0070671.1,protein_coding
FBtr0070672.1,protein_coding
FBtr0070674.1,protein_coding
FBtr0070675.1,protein_coding
FBtr0070676.1,protein_coding
FBtr0070677.1,protein_coding
FBtr0070678.1,protein_coding
FBtr0070679.1,protein_coding
FBtr0070680.1,protein_coding
FBtr0070681.1,protein_coding
FBtr0070682.1,protein_coding
FBtr0070683.1,protein_coding
FBtr0070684.1,protein_coding
FBtr0070685.1,protein_coding
FBtr0070686.1,protein_coding
FBtr0070687.1,protein_coding
FBtr0070688.1,protein_coding
FBtr0070689.1,protein_coding
FBtr0070690.1,protein_coding
FBtr0070691.1,protein_coding
FBtr0070692.1,protein_coding
FBtr0070693.1,protein_coding
FBtr0070696.1,protein_coding
FBtr0070697.1,protein_coding
FBtr0070698.1,protein_coding
FBtr0070699.1,protein_coding
FBtr0070701.1,protein_coding
FBtr0070702.1,protein_coding
FBtr0070704.1,protein_coding
FBtr0070706.1,protein_coding
FBtr0070707.1,protein_coding
FBtr0070708.1,protein_coding
FBtr0070709.1,protein_coding
FBtr0070710.1,protein_coding
FBtr0070711.1,protein_coding
FBtr0070712.1,protein_coding
FBtr0070713.1,protein_coding
FBtr0070714.1,protein_coding
FBtr0070715.1,protein_coding
FBtr0070716.1,protein_coding
FBtr0070717.1,protein_coding
FBtr0070721.1,protein_coding
FBtr0070723.1,protein_coding
FBtr0070724.1,protein_coding
FBtr0070725.1,protein_coding
FBtr0070727.1,protein_coding
FBtr0070731.1,protein_coding
FBtr0070734.1,protein_coding
FBtr0070735.1,protein_coding
FBtr0070736.1,protein_coding
FBtr0070738.1,protein_coding
FBtr0070739.1,protein_coding
FBtr0070740.1,protein_coding
FBtr0070741.1,protein_coding
FBtr0070742.1,protein_coding
FBtr0070748.1,protein_coding
FBtr0070749.1,protein_coding
FBtr0070750.1,protein_coding
FBtr0070751.1,protein_coding
FBtr0070752.1,protein_coding
FBtr0070753.1,protein_coding
FBtr0070755.1,protein_coding
FBtr0070756.1,protein_coding
FBtr0070757.1,protein_coding
FBtr0070758.1,protein_coding
FBtr0070759.1,protein_coding
FBtr0070762.1,protein_coding
FBtr0070763.1,protein_coding
FBtr0070764.1,protein_coding
FBtr0070772.1,protein_coding
FBtr0070773.1,protein_coding
FBtr0070775.1,protein_coding
FBtr0070776.1,protein_coding
FBtr0070777.1,protein_coding
FBtr0070778.1,protein_coding
FBtr0070779.1,protein_coding
FBtr0070780.1,protein_coding
FBtr0070781.1,protein_coding
FBtr0070782.1,protein_coding
FBtr0070783.1,protein_coding
FBtr0070784.1,protein_coding
FBtr0070785.1,protein_coding
FBtr0070791.1,protein_coding
FBtr0070794.1,protein_coding
FBtr0070795.1,protein_coding
FBtr0070797.1,protein_coding
FBtr0070798.1,protein_coding
FBtr0070799.1,protein_coding
FBtr0070800.1,protein_coding
FBtr0070801.1,protein_coding
FBtr0070802.1,protein_coding
FBtr0070804.1,protein_coding
FBtr0070806.1,protein_coding
FBtr0070807.1,protein_coding
FBtr0070808.1,protein_coding
FBtr0070809.1,protein_coding
FBtr0070813.1,protein_coding
FBtr0070814.1,protein_coding
FBtr0070815.1,protein_coding
FBtr0070816.1,protein_coding
FBtr0070817.1,protein_coding
FBtr0070818.1,pseudogene
FBtr0070819.1,protein_coding
FBtr0070820.1,protein_coding
FBtr0070821.1,protein_coding
FBtr0070822.1,protein_coding
FBtr0070823.1,protein_coding
FBtr0070824.1,protein_coding
FBtr0070825.1,protein_coding
FBtr0070826.1,protein_coding
FBtr0070827.1,protein_coding
FBtr0070828.1,protein_coding
FBtr0070829.1,protein_coding
FBtr0070830.1,protein_coding
FBtr0070832.1,protein_coding
FBtr0070833.1,protein_coding
FBtr0070836.1,protein_coding
FBtr0070837.1,protein_coding
FBtr0070839.1,protein_coding
FBtr0070840.1,protein_coding
FBtr0070841.1,protein_coding
FBtr0070842.1,protein_coding
FBtr0070843.1,protein_coding
FBtr0070844.1,protein_coding
FBtr0070845.1,protein_coding
FBtr0070846.1,protein_coding
FBtr0070847.1,protein_coding
FBtr0070848.1,protein_coding
FBtr0070849.1,protein_coding
FBtr0070850.1,protein_coding
FBtr0070851.1,protein_coding
FBtr0070852.1,protein_coding
FBtr0070858.1,protein_coding
FBtr0070859.1,protein_coding
FBtr0070860.1,protein_coding
FBtr0070861.1,protein_coding
FBtr0070862.1,protein_coding
FBtr0070863.1,protein_coding
FBtr0070864.1,protein_coding
FBtr0070865.1,protein_coding
FBtr0070866.1,protein_coding
FBtr0070867.1,protein_coding
FBtr0070871.1,protein_coding
FBtr0070872.1,protein_coding
FBtr0070873.1,protein_coding
FBtr0070874.1,protein_coding
FBtr0070875.1,protein_coding
FBtr0070877.1,protein_coding
FBtr0070878.1,protein_coding
FBtr0070879.1,protein_coding
FBtr0070880.1,protein_coding
FBtr0070881.1,protein_coding
FBtr0070884.1,protein_coding
FBtr0070886.1,protein_coding
FBtr0070887.1,protein_coding
FBtr0070888.1,protein_coding
FBtr0070889.1,protein_coding
FBtr0070890.1,protein_coding
FBtr0070891.1,protein_coding
FBtr0070892.1,protein_coding
FBtr0070893.1,protein_coding
FBtr0070894.1,protein_coding
FBtr0070895.1,protein_coding
FBtr0070896.1,protein_coding
FBtr0070897.1,protein_coding
FBtr0070898.1,protein_coding
FBtr0070899.1,protein_coding
FBtr0070900.1,protein_coding
FBtr0070901.1,protein_coding
FBtr0070903.1,protein_coding
FBtr0070904.1,protein_coding
FBtr0070905.1,protein_coding
FBtr0070906.1,protein_coding
FBtr0070907.1,protein_coding
FBtr0070909.1,protein_coding
FBtr0070910.1,protein_coding
FBtr0070911.1,tRNA
FBtr0070912.1,protein_coding
FBtr0070913.1,protein_coding
FBtr0070914.1,protein_coding
FBtr0070915.1,protein_coding
FBtr0070916.1,protein_coding
FBtr0070918.1,protein_coding
FBtr0070921.1,protein_coding
FBtr0070922.1,protein_coding
FBtr0070923.1,pseudogene
FBtr0070924.1,protein_coding
FBtr0070925.1,protein_coding
FBtr0070926.1,protein_coding
FBtr0070930.1,protein_coding
FBtr0070932.1,pseudogene
FBtr0070933.1,protein_coding
FBtr0070937.1,protein_coding
FBtr0070938.1,protein_coding
FBtr0070943.1,protein_coding
FBtr0070944.1,protein_coding
FBtr0070945.1,protein_coding
FBtr0070946.1,protein_coding
FBtr0070947.1,protein_coding
FBtr0070948.1,protein_coding
FBtr0070950.1,protein_coding
FBtr0070951.1,protein_coding
FBtr0070952.1,protein_coding
FBtr0070953.1,protein_coding
FBtr0070954.1,protein_coding
FBtr0070955.1,protein_coding
FBtr0070956.1,protein_coding
FBtr0070957.1,protein_coding
FBtr0070959.1,protein_coding
FBtr0070960.1,protein_coding
FBtr0070961.1,protein_coding
FBtr0070962.1,protein_coding
FBtr0070963.1,protein_coding
FBtr0070964.1,protein_coding
FBtr0070965.1,protein_coding
FBtr0070966.1,protein_coding
FBtr0070967.1,protein_coding
FBtr0070968.1,protein_coding
FBtr0070969.1,protein_coding
FBtr0070970.1,protein_coding
FBtr0070972.1,protein_coding
FBtr0070973.1,protein_coding
FBtr0070974.1,protein_coding
FBtr0070978.1,protein_coding
FBtr0070979.1,tRNA
FBtr0070980.1,protein_coding
FBtr0070981.1,protein_coding
FBtr0070982.1,protein_coding
FBtr0070983.1,protein_coding
FBtr0070984.1,protein_coding
FBtr0070985.1,protein_coding
FBtr0070986.1,protein_coding
FBtr0070987.1,protein_coding
FBtr0070988.1,protein_coding
FBtr0070989.1,protein_coding
FBtr0070990.1,protein_coding
FBtr0070991.1,protein_coding
FBtr0070992.1,protein_coding
FBtr0070993.1,protein_coding
FBtr0070994.1,protein_coding
FBtr0070995.1,protein_coding
FBtr0071001.1,pseudogene
FBtr0071003.1,protein_coding
FBtr0071004.1,protein_coding
FBtr0071005.1,protein_coding
FBtr0071006.1,protein_coding
FBtr0071007.1,protein_coding
FBtr0071008.1,protein_coding
FBtr0071009.1,protein_coding
FBtr0071010.1,protein_coding
FBtr0071013.1,protein_coding
FBtr0071014.1,protein_coding
FBtr0071015.1,protein_coding
FBtr0071016.1,lincRNA
FBtr0071017.1,protein_coding
FBtr0071018.1,protein_coding
FBtr0071019.1,protein_coding
FBtr0071020.1,protein_coding
FBtr0071032.1,protein_coding
FBtr0071033.1,protein_coding
FBtr0071034.1,protein_coding
FBtr0071035.1,protein_coding
FBtr0071036.1,protein_coding
FBtr0071037.1,protein_coding
FBtr0071038.1,protein_coding
FBtr0071039.1,protein_coding
FBtr0071040.1,protein_coding
FBtr0071041.1,protein_coding
FBtr0071042.1,protein_coding
FBtr0071046.1,protein_coding
FBtr0071047.1,protein_coding
FBtr0071048.1,protein_coding
FBtr0071049.1,protein_coding
FBtr0071051.1,protein_coding
FBtr0071052.1,protein_coding
FBtr0071053.1,protein_coding
FBtr0071054.1,protein_coding
FBtr0071055.1,protein_coding
FBtr0071056.1,protein_coding
FBtr0071057.1,protein_coding
FBtr0071058.1,protein_coding
FBtr0071059.1,protein_coding
FBtr0071060.1,protein_coding
FBtr0071063.1,protein_coding
FBtr0071064.1,protein_coding
FBtr0071065.1,protein_coding
FBtr0071066.1,protein_coding
FBtr0071067.1,protein_coding
FBtr0071068.1,protein_coding
FBtr0071070.1,protein_coding
FBtr0071071.1,protein_coding
FBtr0071072.1,protein_coding
FBtr0071073.1,protein_coding
FBtr0071074.1,protein_coding
FBtr0071075.1,protein_coding
FBtr0071076.1,protein_coding
FBtr0071077.1,protein_coding
FBtr0071078.1,protein_coding
FBtr0071079.1,protein_coding
FBtr0071081.1,protein_coding
FBtr0071083.1,protein_coding
FBtr0071087.1,protein_coding
FBtr0071088.1,protein_coding
FBtr0071089.1,protein_coding
FBtr0071090.1,protein_coding
FBtr0071091.1,protein_coding
FBtr0071092.1,protein_coding
FBtr0071093.1,protein_coding
FBtr0071094.1,protein_coding
FBtr0071095.1,protein_coding
FBtr0071096.1,protein_coding
FBtr0071099.1,protein_coding
FBtr0071101.1,protein_coding
FBtr0071102.1,protein_coding
FBtr0071105.1,protein_coding
FBtr0071106.1,protein_coding
FBtr0071107.1,protein_coding
FBtr0071108.1,protein_coding
FBtr0071109.1,protein_coding
FBtr0071110.1,protein_coding
FBtr0071111.1,protein_coding
FBtr0071112.1,protein_coding
FBtr0071113.1,protein_coding
FBtr0071114.1,protein_coding
FBtr0071116.1,protein_coding
FBtr0071117.1,protein_coding
FBtr0071118.1,protein_coding
FBtr0071119.1,protein_coding
FBtr0071120.1,protein_coding
FBtr0071121.1,protein_coding
FBtr0071122.1,protein_coding
FBtr0071123.1,protein_coding
FBtr0071124.1,protein_coding
FBtr0071125.1,protein_coding
FBtr0071126.1,protein_coding
FBtr0071127.1,protein_coding
FBtr0071129.1,protein_coding
FBtr0071130.1,protein_coding
FBtr0071131.1,protein_coding
FBtr0071132.1,protein_coding
FBtr0071133.1,protein_coding
FBtr0071134.1,protein_coding
FBtr0071135.1,protein_coding
FBtr0071136.1,protein_coding
FBtr0071140.1,protein_coding
FBtr0071141.1,protein_coding
FBtr0071142.1,protein_coding
FBtr0071143.1,protein_coding
FBtr0071145.1,protein_coding
FBtr0071146.1,protein_coding
FBtr0071147.1,protein_coding
FBtr0071150.1,protein_coding
FBtr0071151.1,protein_coding
FBtr0071152.1,protein_coding
FBtr0071153.1,protein_coding
FBtr0071155.1,protein_coding
FBtr0071157.1,protein_coding
FBtr0071158.1,protein_coding
FBtr0071160.1,protein_coding
FBtr0071166.1,protein_coding
FBtr0071167.1,protein_coding
FBtr0071168.1,protein_coding
FBtr0071169.1,protein_coding
FBtr0071170.1,protein_coding
FBtr0071171.1,protein_coding
FBtr0071173.1,protein_coding
FBtr0071174.1,protein_coding
FBtr0071175.1,protein_coding
FBtr0071176.1,protein_coding
FBtr0071178.1,protein_coding
FBtr0071179.1,protein_coding
FBtr0071180.1,protein_coding
FBtr0071181.1,protein_coding
FBtr0071183.1,protein_coding
